Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Delivery Charges,Family Skin Fries EGY TO,,,,,,,,,,,,,
Champs Meal EGY QC,Delivery Charges,,,,,,,,,,,,,
Delivery Charges,Vodafone Double Cheesebits HD EGY QC,,,,,,,,,,,,,
Delivery Charges,Famous Cheese Star HD EGY QC,,,,,,,,,,,,,
Delivery Charges,Mushroom Double Treat QC,,,,,,,,,,,,,
3PC Tender EGY TO,Crispy Culrs (Large) EGY TO,Delivery Charges,Honey Mustard Cup HRD EGY TO,Mirinda Can HRD EGY TO,,,,,,,,,,
Chicken Mushroom & Swiss Sandwich - Meal HD QC,Delivery Charges,,,,,,,,,,,,,
Mushroom Double Treat QC,,,,,,,,,,,,,,
Chicken Wrap Spicy Meal EGY QC,,,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Crispy Culrs (Large) EGY,Kids Cheeseburger EGY QC,Mushroom&Swiss Meal EGY QC,,,,,,,,,,,
Loaded Fries EGY,,,,,,,,,,,,,,
Grilled Chicken Fillet EGY TO,,,,,,,,,,,,,,
Super Star Chicken(N) EGY QC,Super Star Meal EGY QC,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,,,,,,,,,,,,,,
Al Ostora Meal EGY QC,,,,,,,,,,,,,,
Roastbeef Cheddar EGY QC,,,,,,,,,,,,,,
Medium Pepsi  EGY TO,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,Crispy Culrs (Medium) EGY TO,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Mushroom Double Treat QC,,,,,,,,,,,,,,
Mush Super Star Sandwich  EGY TO,,,,,,,,,,,,,,
Mushroom Double Treat QC,,,,,,,,,,,,,,
Big Delux EGY,Chicken Fillet Meal EGY QC,Cordon Blue Meal EGY QC,,,,,,,,,,,,
7Up Regular EGY TO,Pepsi Regular EGY TO,Super Star Sandwich EGY TO,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Delivery Charges,Famous Cheese Star HD EGY QC,,,,,,,,,,,,,
Loaded Fries EGY TO,Mushrom Angus Sandwich  EGY TO,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY TO,Big Delux EGY TO,Cheddar Cheese 4 OZ EGY TO,Crispy Culrs (Large) EGY TO,Small Aquafina EGY TO,,,,,,,,,,
Famous Cheese Star EGY QC,Mushroom Angus Meal EGY QC,,,,,,,,,,,,,
Angus Orginal Meal EGY QC,Cheddar Cheese 4 OZ EGY,Grilled Chicken Meal EGY QC,,,,,,,,,,,,
Crispy Culrs (Medium) EGY,Super Star Meal EGY QC,,,,,,,,,,,,,
Chicken Wrap Spicy Meal EGY QC,Mush&Swiss Sand  EGY TO,,,,,,,,,,,,,
Chicken Fillet HRD EGY TO,Crispy Culrs (Medium) EGY TO,Super Star Meal EGY QC,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
Crispy Culrs (Medium) EGY,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Mushroom Super Star Meal EGY QC,Roastbeef Cheddar EGY QC,,,,,,,,,,,,
Big Delux EGY TO,Chicken Fillet HRD EGY TO,Chicken Santfee Sandwich EGY TO,,,,,,,,,,,,
Handscope Oreo Shake EGY,,,,,,,,,,,,,,
Monster Angus Meal EGY QC,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Hand Scoop Vanilla S EGY,,,,,,,,,,,,,,
Grilled Chicken Meal EGY QC,,,,,,,,,,,,,,
Grilled Chicken Meal EGY QC,,,,,,,,,,,,,,
Choc ChipCookie  EGY TO,Delivery Charges,Jalapeno Grill Chicken HD EGY QC,Jalapeno Grilled Chicken Sandwich EGY TO,,,,,,,,,,,
3PC Tender (S) EGY TO,Barbeque Cupp EGY TO,Delivery Charges,Honey Mustard Cup HRD EGY TO,Medium Skin Fries  EGY TO,Mush&Swiss Sand  EGY TO,,,,,,,,,
Add Spicy Powder HRD TO,Chicken Wrap Spicy sand EGY TO,Choc ChipCookie  EGY TO,Crispy Culrs (Large) EGY TO,Crispy Culrs (Medium) EGY TO,Delivery Charges,Jalapeno Chicken Sandwich EGY TO,,,,,,,,
Delivery Charges,Super Star Meal HD EGY QC,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Mushroom&Swiss Meal EGY QC,,,,,,,,,,,,,
Vodafone Mushroom&Cookie EGY QC,,,,,,,,,,,,,,
Grilled Chicken Fillet EGY,Mush Super Star Sandwich  EGY,,,,,,,,,,,,,
Large Pepsi  EGY,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Cheddar Cheese 4 OZ EGY,Super Star Meal EGY QC,,,,,,,,,,,,
Delivery Charges,El Kabeer Meal EGY QC,,,,,,,,,,,,,
Delivery Charges,Famous Star Meal HD EGY QC,Mushroom&Swiss Meal HD EGY QC,,,,,,,,,,,,
Delivery Charges,Mushroom Angus Meal HD EGY QC,,,,,,,,,,,,,
Delivery Charges,Mushroom Double Treat QC,,,,,,,,,,,,,
Delivery Charges,Super Star Chicken(N) HD EGY QC,,,,,,,,,,,,,
Delivery Charges,Super Star Meal HD EGY QC,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Chicken Wrap Spicy sand EGY TO,Delivery Charges,,,,,,,,,,,,,
Ranch Dressing Cup HRD EGY,,,,,,,,,,,,,,
5 Pc  Spicy Chicken Tender EGY TO,5 Pc Chicken Tender EGY TO,Chicken Spicy Meal EGY QC,Chicken Star 9 Pcs EGY TO,Cordon Blue Sandwich  EGY TO,Crispy Culrs (Large) EGY TO,Large Skin Fries  EGY TO,Mushroom Angus Meal EGY QC,Ranch Dressing Cup HRD EGY TO,Tiger Chili Cup EGY TO,,,,,
Mush&Swiss Sand  EGY TO,Mushroom&Swiss Meal EGY QC,,,,,,,,,,,,,
Medium Pepsi  EGY,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Big Delux EGY TO,,,,,,,,,,,,,,
Mushrom Angus Sandwich  EGY TO,,,,,,,,,,,,,,
Ketchup Packet HRD EGY,,,,,,,,,,,,,,
Al Ostora Meal EGY QC,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Chicken Fillet Meal EGY QC,Mushrom Angus Sandwich  EGY,Mushroom&Swiss Meal EGY QC,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Cheddar Cheese 4 OZ EGY,Super Star Meal EGY QC,,,,,,,,,,,,
Delivery Charges,Famous Star Meal HD EGY QC,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Chicken Wrap (W/Ranch Sauce)Sand. EGY,Grilled Chicken Fillet EGY,,,,,,,,,,,,,
Al Ostora Meal EGY QC,Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,
Chicken Mushroom & Swiss Sandwich - Meal QC,,,,,,,,,,,,,,
El Kabeer Meal EGY QC,,,,,,,,,,,,,,
Vodafone Mushroom&Cookie EGY QC,,,,,,,,,,,,,,
Choc ChipCookie  EGY,,,,,,,,,,,,,,
Chicken Fillet Meal EGY QC,,,,,,,,,,,,,,
Delivery Charges,El Kabeer Meal EGY QC,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,Delivery Charges,Mushroom Double Treat QC,,,,,,,,,,,,
Angus Classic Meal EGY QC,Super Star Meal EGY QC,,,,,,,,,,,,,
5Pc Tender Meal EGY QC,Mushroom Super Star Meal EGY QC,,,,,,,,,,,,,
Al Ostora Meal EGY QC,,,,,,,,,,,,,,
Godzilla Angus Meal QC EGY,,,,,,,,,,,,,,
